video_id,base_id,is_original,class_label,num_frames,active_side_detected,elbow_angle_active_mean,elbow_angle_other_mean,wrist_height_active_mean,torso_lean_angle_mean,elbow_forward_drift_active_mean,elbow_angle_active_vel_mean,wrist_height_active_vel_mean,torso_lean_vel_mean,elbow_angle_active_std,elbow_angle_other_std,wrist_height_active_std,torso_lean_angle_std,elbow_forward_drift_active_std,elbow_angle_active_vel_std,wrist_height_active_vel_std,torso_lean_vel_std,elbow_angle_active_min,elbow_angle_other_min,wrist_height_active_min,torso_lean_angle_min,elbow_forward_drift_active_min,elbow_angle_active_vel_min,wrist_height_active_vel_min,torso_lean_vel_min,elbow_angle_active_max,elbow_angle_other_max,wrist_height_active_max,torso_lean_angle_max,elbow_forward_drift_active_max,elbow_angle_active_vel_max,wrist_height_active_vel_max,torso_lean_vel_max,elbow_angle_active_range,elbow_angle_other_range,wrist_height_active_range,torso_lean_angle_range,elbow_forward_drift_active_range,elbow_angle_active_vel_range,wrist_height_active_vel_range,torso_lean_vel_range,sequence_length
vid_0001_aug_0,vid_0001,False,Drag,69,left,105.58757330512363,124.78083608486997,-0.8217336142718156,18.04371564380694,-0.19523030783550138,-0.13561688620975917,0.0034723589405992296,-0.0022886019233710276,28.31713506400174,23.655104640613867,0.21117535831686243,6.314671426897547,0.17208729062003983,6.126267307387539,0.039745545325041626,2.115529840095222,65.37352356967827,80.71014292700276,-1.1631028438875868,6.075191681735728,-0.46381151056850656,-14.32725528332486,-0.09666026355705382,-5.899796200288248,166.06266599928085,177.98062597351083,-0.4742553002511449,30.788695684666237,0.17744203507814907,14.816156348221767,0.10460751526490042,5.2847478451000764,100.68914242960258,97.27048304650806,0.6888475436364419,24.71350400293051,0.6412535456466556,29.143411631546627,0.20126777882195424,11.184544045388325,69.0
vid_0001_aug_1,vid_0001,False,Drag,78,left,105.6861998525635,124.86589203664046,-0.8139547090552153,18.046057486270875,-0.183192273261487,-0.2509128815612892,0.0015919367937976099,-0.06825119308585777,27.541775244771934,22.330931042926583,0.20954508762733134,5.536394069431134,0.17144001314677315,6.049898470546527,0.038094299528454494,1.6967190398326175,61.77725855897844,84.42947720828845,-1.1597424473658813,7.1850460301407955,-0.474473530398583,-16.042944617117342,-0.11095682211984748,-4.723050508008598,156.50273708203392,172.03288371816356,-0.47016818949466654,30.022294257662868,0.13543734835780485,10.875588613520534,0.1309609909288602,4.794298521156559,94.72547852305547,87.60340650987511,0.6895742578712147,22.83724822752207,0.6099108787563878,26.918533230637877,0.24191781304870769,9.517349029165157,78.0
vid_0001_aug_2,vid_0001,False,Drag,65,left,106.22414265197125,124.59198289914184,-0.8335602423760547,18.452265063727634,-0.20072972281733023,-0.22390336762724383,0.0019316718474887524,-0.07966345813873052,28.743458495616316,23.494608773474212,0.2272040711259434,6.275700092051266,0.15811247379299845,5.925770678579086,0.040424272512994054,2.078512452548206,57.6952363538375,93.7003479466926,-1.2103422584867118,6.525380369256357,-0.4869999379300914,-12.971845395973858,-0.11034299532838027,-5.479294148176816,165.37905483187612,173.46087162862628,-0.4782268943586965,30.911679128255805,0.10573996526260493,18.559403267201567,0.10834811629694474,3.748895465133833,107.68381847803862,79.76052368193368,0.7321153641280154,24.386298758999448,0.5927399031926963,31.531248663175425,0.218691111625325,9.228189613310649,65.0
vid_0001_aug_3,vid_0001,False,Drag,69,left,105.83367291002624,125.8189447457497,-0.8337658675862303,17.83533604885512,-0.1754701168068669,-0.36849515959793144,0.0016635088032142362,-0.11477730668213573,27.752063792286226,23.744385450536626,0.21634027052768795,6.562376189583864,0.1731288516916502,5.826456203367483,0.040682544097284,2.2437977810292318,61.993975562940484,80.85883531187405,-1.2189221600314615,4.618980434595427,-0.4693124849389569,-19.451415002665485,-0.09397678376927177,-9.49889486231967,170.30521481906493,173.19609409658483,-0.44941412718626783,29.916857923828886,0.09443465287052266,12.119093512234421,0.08301814021359083,4.35841341801501,108.31123925612445,92.33725878471078,0.7695080328451936,25.297877489233457,0.5637471378094796,31.570508514899906,0.1769949239828626,13.85730828033468,69.0
vid_0001_aug_4,vid_0001,False,Drag,80,left,106.64908979911327,123.27122665035142,-0.8392773201861472,17.91958493078943,-0.20551376708641386,-0.04384438237702941,0.0027533544551601547,0.08196744959381115,28.524474726737235,24.23291954893627,0.22147861713247136,5.871894856900215,0.15994849355566373,6.024531371088007,0.04611643865586286,1.8728297358464667,63.89430001306961,84.94300385624533,-1.243783855822292,5.17284576321988,-0.47246954878115555,-12.910821637638868,-0.09999908344176911,-4.877075318889544,170.85913587151947,177.84779327368267,-0.4878269613390207,29.631818448476317,0.0976901377853282,28.329595904051672,0.1022126698386,5.46110677180015,106.96483585844986,92.90478941743734,0.7559568944832713,24.458972685256438,0.5701596865664837,41.24041754169054,0.2022117532803691,10.338182090689694,80.0
vid_0001_aug_5,vid_0001,False,Drag,78,left,107.2059047474633,123.4180567544074,-0.8358474244030604,18.224243362545256,-0.19113182297169634,-0.10635694710531815,0.0024745598880517063,0.061273097446148,27.963811242776988,23.646688755313104,0.22486400918802793,5.735717562379628,0.16440078527799903,6.796324256354076,0.04672703385844274,1.9241463320510865,62.36953579741699,87.96941803373373,-1.3984099103876841,6.48557232285045,-0.44414893389073723,-12.265731206663034,-0.1671728303870159,-5.261356510851959,168.2562712943815,176.62457371815404,-0.4894845805214334,29.254098505061368,0.15996703591016803,23.84500478760097,0.09790249983257893,4.062783080732165,105.8867354969645,88.65515568442031,0.9089253298662507,22.76852618221092,0.6041159698009053,36.110735994264004,0.26507533021959484,9.324139591584125,78.0
vid_0001_aug_6,vid_0001,False,Drag,72,left,105.91249598124043,122.96873163999233,-0.8242670276883787,18.26395600612999,-0.1976775731501339,-0.5477987050114399,0.004155062290447337,-0.022768897347842067,29.913729265921255,24.020723174567966,0.2434600935626573,5.96984812314485,0.168148239519298,5.500741852997117,0.047599965262158817,2.088120519159197,59.041061538645565,84.20188859647835,-1.3090583044447826,7.31672606938018,-0.5173019424998659,-11.605558961349232,-0.1135607365680883,-5.932621608979341,159.434209141672,174.68125351317826,-0.4759607213385665,31.96269548662454,0.16057587879219304,14.249783477733182,0.12284720147314276,6.393581339315686,100.39314760302643,90.47936491669991,0.8330975831062161,24.64596941724436,0.677877821292059,25.855342439082413,0.23640793804123106,12.326202948295027,72.0
vid_0001_aug_7,vid_0001,False,Drag,60,left,105.35850335271171,123.90642017881842,-0.8241281162695471,18.015048734780464,-0.18846158047456338,-0.30169912180116293,0.003299615424465991,-0.055821813453793175,26.662969184607366,21.590399288688744,0.21773697002643577,5.811639456090888,0.16534708856953445,6.285422810972025,0.043151001547979476,1.7254584524767445,52.810856025655085,83.43696556771094,-1.20625624428888,4.774519902356845,-0.432048104678858,-20.165597581008207,-0.07078546942303088,-3.5024632481063573,161.9233496215481,170.8630821814596,-0.4359968696704643,27.269751431189224,0.12600369921646826,12.64904485574067,0.09239805502665921,4.580915431931899,109.11249359589303,87.42611661374865,0.7702593746184156,22.495231528832377,0.5580518038953263,32.814642436748876,0.1631835244496901,8.083378680038257,60.0
vid_0001_aug_8,vid_0001,False,Drag,83,left,105.85068880711192,123.49633482801818,-0.8226562643905402,18.289650428051424,-0.19868274824971616,-0.4214449519427129,0.0026776114286242527,0.0052505823644559855,29.132092064935115,24.617272421991558,0.21596714413889964,6.035456316078356,0.16173849480521815,5.756073427957492,0.041471634411200754,1.6866145619801252,56.356265779265506,88.2159229355585,-1.1978967917229164,5.509182378620015,-0.4754514710239174,-12.814780018786927,-0.10457339150604533,-4.487692365162371,157.97232284854007,177.06191435029666,-0.4872752308214286,30.286555783973146,0.10466756300927506,12.010747511403771,0.09489232475315773,3.2739659186287966,101.61605706927458,88.84599141473817,0.7106215609014879,24.77737340535313,0.5801190340331924,24.825527530190698,0.19946571625920306,7.761658283791167,83.0
vid_0001_aug_9,vid_0001,False,Drag,83,left,106.07981233455104,124.7123419361776,-0.8323498299126296,18.68915078968393,-0.20119322484807334,-0.16915703017439937,0.002757291733942361,-0.039239950208721196,28.073583920568748,22.618508880679904,0.21909752049971049,5.848951050937772,0.16482164589067108,5.581598762213625,0.0401638325956849,1.6502694668685065,61.93619607296908,95.7037396603075,-1.2995384208083616,6.951547360764043,-0.45827855048074223,-13.546911658504882,-0.07986412231417739,-3.813270433756818,156.3263589398427,178.44752408870386,-0.4996134227008299,29.44734431426084,0.1622883553456734,16.88276471364307,0.10411981687067151,4.4358417818013045,94.39016286687361,82.74378442839635,0.7999249981075316,22.495796953496797,0.6205669058264156,30.429676372147952,0.1839839391848489,8.249112215558123,83.0
